time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/clip_fraction,train/clip_range,train/std,train/entropy_loss,train/approx_kl,train/n_updates,train/loss,train/policy_gradient_loss,train/value_loss,train/explained_variance
2000,1,21.15362433333333,115,17,510.3333333333333,,,,,,,,,,,
4000,2,20.70577557142857,117,33,495.0,0.0001,0.27036667937257636,0.222,0.9964260458946228,-15.516665569941203,0.15641272,15,1.0352891683578491,0.0223038280496403,4.038190344472726,0.2142888307571411
6000,3,21.577756545454548,118,50,537.7272727272727,0.0001,0.13653333908490214,0.222,0.9957890510559082,-14.602862612406414,0.0831753,30,0.6858393549919128,0.00499854547733413,3.1125435163577397,-0.045497894287109375
8000,4,19.913244799999998,118,67,476.53333333333336,0.0001,0.339366683185411,0.222,0.9876627326011658,-15.725034276644388,0.5767044,45,0.35396990180015564,0.049138522661078606,1.142568875104189,0.29026877880096436
10000,5,20.31143236842105,118,84,525.7894736842105,0.0001,0.3022000148620767,0.222,0.9804626703262329,-16.74246951738993,0.28877747,60,0.3307346701622009,0.023195603611799495,0.7615565662582715,0.6337014436721802
12000,6,19.842598590909088,118,100,533.4545454545455,0.0001,0.2500333460901553,0.222,0.9766811728477478,-17.414035669962566,0.11600007,75,0.20712575316429138,0.027551090483734372,0.7105600876112779,0.5686893165111542
14000,7,20.271270791666666,118,117,569.75,0.0001,0.2651000127661973,0.222,0.967805802822113,-17.70730576515198,0.17846027,90,0.14481374621391296,0.027044905315015525,0.3806444779038429,0.7704986184835434
16000,8,20.075897555555557,119,134,574.0,0.0001,0.2661333455859373,0.222,0.9594891667366028,-19.12506939570109,0.1870534,105,0.14653772115707397,0.031068646471012477,0.2988848386332393,0.7547359615564346
18000,9,19.89120578125,118,151,549.53125,0.0001,0.2302333447461327,0.222,0.9540037512779236,-19.357367420196532,0.11577873,120,0.12473368644714355,0.008752382808241718,0.284922381862998,0.8536737263202667
20000,10,20.368842970588236,118,168,579.4117647058823,0.0001,0.2973000122583471,0.222,0.9508474469184875,-19.806144841512044,0.3503441,135,0.1751391887664795,0.027725214219956308,0.5490658529102802,0.8485564738512039
22000,11,20.439909162162163,118,184,575.2972972972973,0.0001,0.23090001003583893,0.222,0.9449958801269531,-21.03081111907959,0.13380803,150,0.1048206239938736,0.013883230140612183,0.4681910880530874,0.815274253487587
24000,12,21.295554170731705,119,201,575.2926829268292,0.0001,0.07510000321781263,0.222,0.9444631934165955,-22.094342374801634,0.024708252,165,0.35168200731277466,-0.008117920870057412,1.43947284668684,0.4378117322921753
26000,13,22.22955440909091,118,218,589.5454545454545,0.0001,0.2053333425622744,0.222,0.9402994513511658,-21.172467613220213,0.12814358,180,0.028960222378373146,-0.009898024674985854,0.3951310223589341,0.6380414366722107
28000,14,22.819251319148933,118,235,594.1276595744681,0.0001,0.13106667274842038,0.222,0.9369009137153625,-22.45415056546529,0.037273996,195,0.062029168009757996,-0.007517066071613243,0.5685101053367059,0.5567134618759155
30000,15,22.71231337254902,119,252,584.843137254902,0.0001,0.09933333729859442,0.222,0.9346773028373718,-21.711880699793497,0.031344593,210,0.03963164985179901,-0.013051631654030959,0.3631561048949758,0.8328888118267059
32000,16,22.738637851851852,118,269,587.9629629629629,0.0001,0.13266667290202652,0.222,0.931683361530304,-22.09934409459432,0.052527584,225,0.07647266983985901,-0.002605172739558966,1.1210156834994753,0.43613702058792114
